"","V2_01","V2_02","V3_01","V3_02","V4_01","V4_02","V5_01","V5_02","V6_01","V6_02","V7_01","V7_02","V8_01","V8_02","V9_01","V9_02","V10_01","V10_02","V11_01","V11_02","V12_01","V12_02","V13_01","V13_02","V14_01","V14_02","V15_01","V15_02"
"91","bearing_degrees","70","coordinates","N0.81859 E37.55663","distance_meters","30","how_many_animals_were_observed","18","observers","TW2","species_","baboon","was_a_group_of_animals_observed","group_","was_the_animal_observed_as_road","alive","generated_note_survey","null","livestock","null","what_species_of_bird_was_observ","null","approximate_number_of_days_sinc","null","approximate_age_of_individual","null","sex_of_animal","null,
    habitat_"
"92","species_","livestock","livestock","camel","was_the_animal_observed_as_road","alive","was_a_group_of_animals_observed","group_","distance_meters","58","bearing_degrees","300","how_many_animals_were_observed","300","observers","TW2","coordinates","N0.77761 E37.55589","habitat_","seasonal_permanent_H2O_source","width_of_the_road",NA,NA,NA,NA,NA,NA,NA
"93","species_","livestock","livestock","shoat","was_the_animal_observed_as_road","alive","was_a_group_of_animals_observed","group_","distance_meters","34","bearing_degrees","50","how_many_animals_were_observed","230","observers","TW2","coordinates","N0.77963 E37.55515","habitat_","acacia _reficiens_dominated","width_of_the_road",NA,NA,NA,NA,NA,NA,NA
"94","species_","livestock","livestock","cattle","was_the_animal_observed_as_road","alive","was_a_group_of_animals_observed","group_","distance_meters","60","bearing_degrees","80","how_many_animals_were_observed","34","observers","TW2","coordinates","N0.79942 E37.54564","habitat_","acacia _reficiens_dominated","width_of_the_road",NA,NA,NA,NA,NA,NA,NA
"95","species_","livestock","livestock","shoat","was_the_animal_observed_as_road","alive","was_a_group_of_animals_observed","group_","distance_meters","40","bearing_degrees","90","how_many_animals_were_observed","56","observers","TW2","coordinates","N0.70117 E37.61781","habitat_","open_scrub","width_of_the_road",NA,NA,NA,NA,NA,NA,NA
"96","species_","plains_zebra","was_the_animal_observed_as_road","alive","was_a_group_of_animals_observed","group_","distance_meters","200","bearing_degrees","300","how_many_animals_were_observed","4","observers","TW2","coordinates","N0.62307 E37.67260","habitat_","seasonal_permanent_H2O_source","width_of_the_road",NA,NA,NA,NA,NA,NA,NA,NA,NA
"97","species_","warthog","was_the_animal_observed_as_road","alive","was_a_group_of_animals_observed","group_","distance_meters","200","bearing_degrees","300","how_many_animals_were_observed","11","observers","TW2","coordinates","N0.62308 E37.67261","habitat_","seasonal_permanent_H2O_source","width_of_the_road",NA,NA,NA,NA,NA,NA,NA,NA,NA
"98","observers","TW2","coordinates","N0.62308 E37.67261","species_","gazelle","was_the_animal_observed_as_road","alive","was_a_group_of_animals_observed","group_","distance_meters","210","bearing_degrees","310","how_many_animals_were_observed","7","habitat_","seasonal_permanent_H2O_source","width_of_the_road",NA,NA,NA,NA,NA,NA,NA,NA,NA
"99","species_","livestock","livestock","shoat","was_the_animal_observed_as_road","alive","was_a_group_of_animals_observed","group_","distance_meters","240","bearing_degrees","40","how_many_animals_were_observed","340","observers","TW2","coordinates","N0.55841 E37.67558","habitat_","mixed_shrubs_and_trees","width_of_the_road",NA,NA,NA,NA,NA,NA,NA
"100","bearing_degrees","50","coordinates","N0.52574 E37.65615","distance_meters","20","how_many_animals_were_observed","23","livestock","shoat","observers","TW2","species_","livestock","was_a_group_of_animals_observed","group_","was_the_animal_observed_as_road","alive","generated_note_survey","null","what_species_of_bird_was_observ","null","approximate_number_of_days_sinc","null","approximate_age_of_individual","null","sex_of_animal","null,
    habitat_"
"101","species_","livestock","livestock","cattle","was_the_animal_observed_as_road","alive","was_a_group_of_animals_observed","group_","distance_meters","56","bearing_degrees","320","how_many_animals_were_observed","14","observers","TW2","coordinates","N0.49797 E37.63965","habitat_","open_scrub","width_of_the_road",NA,NA,NA,NA,NA,NA,NA
"102","species_","livestock","livestock","shoat","was_the_animal_observed_as_road","alive","was_a_group_of_animals_observed","group_","distance_meters","30","bearing_degrees","290","how_many_animals_were_observed","16","observers","TW2 N0","coordinates","N0.47248 E37.62471","habitat_","disturbed_human_buildings","width_of_the_road",NA,NA,NA,NA,NA,NA,NA
